Temperature,Humidity,Moisture,Soil_pH,Electrical_Conductivity,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Sulfur,Zinc,Iron,Soil_Type,Crop_Type,Soil_Health_Score,Soil_Health_Category,Recommended_Fertilizer,Fertilizer_Amount_kg_per_acre,Recommendation_Reason
39.57,78.89,21,8.31,2.23,0.25,180,13,84,16.88,0.61,4.59,Loamy,Wheat,29,Poor,MOP,150,Improve deficient nutrients.
29.18,91.75,53,6.27,0.98,1.49,324,25,288,16.47,0.78,3.01,Clay,Maize,83,Excellent,Compost,500,Maintain soil organic matter.
21.79,83.95,66,6.29,0.46,1.02,388,30,198,22.2,1.09,8.55,Laterite,Groundnut,89,Excellent,Compost,500,Maintain soil organic matter.
23.43,82.86,44,6.92,1.28,0.84,235,21,153,16.44,2.18,7.21,Sandy,Tomato,74,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
34.78,58.41,54,6.47,0.91,0.64,259,23,157,8.54,1.42,9.64,Silty,Maize,74,Healthy,DAP,100,Correct moderate nutrient imbalance.
25.16,50.05,46,6.09,0.65,0.73,242,28,160,29.42,1.03,7.96,Red,Cotton,76,Healthy,NPK 19-19-19,100,Correct moderate nutrient imbalance.
24.7,56.55,37,5.0,2.47,0.41,97,17,119,29.29,1.77,6.61,Sandy,Cotton,32,Poor,MOP,150,Improve deficient nutrients.
31.82,40.78,60,6.45,0.77,1.44,310,56,309,6.56,1.26,8.25,Laterite,Maize,100,Excellent,Compost,500,Maintain soil organic matter.
30.56,30.77,18,4.94,2.95,0.45,44,10,80,25.95,0.51,2.18,Black,Tomato,45,Poor,DAP,150,Improve deficient nutrients.
36.21,46.43,69,6.22,0.73,0.87,300,26,250,21.06,1.46,3.63,Black,Maize,85,Excellent,Compost,500,Maintain soil organic matter.
38.87,73.99,26,8.14,2.52,0.42,53,9,65,18.24,0.5,8.23,Sandy,Soybean,47,Poor,MOP,150,Improve deficient nutrients.
23.42,82.41,33,8.27,2.91,0.35,148,8,62,14.06,2.13,5.98,Sandy,Tomato,54,Poor,DAP,150,Improve deficient nutrients.
34.26,63.83,54,5.83,0.71,0.72,261,25,219,15.54,2.4,6.84,Red,Rice,74,Healthy,DAP,100,Correct moderate nutrient imbalance.
31.94,50.93,28,8.67,2.43,0.27,174,11,119,24.3,1.47,4.15,Sandy,Potato,21,Poor,Urea,150,Improve deficient nutrients.
30.14,77.46,52,6.52,0.61,0.85,378,35,319,7.31,0.75,6.46,Laterite,Potato,86,Excellent,Compost,500,Maintain soil organic matter.
25.23,89.22,60,6.56,0.32,0.85,377,44,269,6.2,1.23,8.47,Clay,Maize,84,Excellent,Compost,500,Maintain soil organic matter.
39.46,75.41,67,7.0,0.87,0.87,311,57,198,24.74,0.83,2.46,Silty,Rice,86,Excellent,Compost,500,Maintain soil organic matter.
29.06,31.3,35,8.5,2.38,0.21,128,6,78,11.86,1.4,7.73,Black,Maize,30,Poor,Urea,150,Improve deficient nutrients.
39.31,34.87,34,5.22,2.74,0.45,108,10,59,22.74,2.15,7.59,Loamy,Cotton,46,Poor,NPK 10-26-26,150,Improve deficient nutrients.
